backend_name;date;results
ibmqx4;2018-07-05T21:57:04.891Z;{'00000': 193, '00001': 9, '00010': 251, '00011': 27, '00100': 213, '00101': 15, '00110': 305, '00111': 11}
ibmqx4;2018-07-05T21:57:04.982Z;{'00000': 462, '00001': 35, '00010': 435, '00011': 30, '00100': 31, '00101': 3, '00110': 27, '00111': 1}
ibmqx4;2018-07-05T21:57:05.079Z;{'00000': 184, '00001': 35, '00010': 233, '00011': 43, '00100': 202, '00101': 40, '00110': 257, '00111': 30}
ibmqx4;2018-07-05T21:57:05.141Z;{'00000': 420, '00001': 75, '00010': 406, '00011': 71, '00100': 18, '00101': 4, '00110': 23, '00111': 7}
ibmqx4;2018-07-05T21:57:05.233Z;{'00000': 156, '00001': 56, '00010': 173, '00011': 66, '00100': 199, '00101': 65, '00110': 243, '00111': 66}
ibmqx4;2018-07-05T21:57:05.339Z;{'00000': 371, '00001': 119, '00010': 352, '00011': 125, '00100': 16, '00101': 7, '00110': 28, '00111': 6}
ibmqx4;2018-07-05T21:57:05.407Z;{'00000': 123, '00001': 93, '00010': 148, '00011': 119, '00100': 133, '00101': 128, '00110': 211, '00111': 69}
ibmqx4;2018-07-05T21:57:05.522Z;{'00000': 335, '00001': 195, '00010': 266, '00011': 175, '00100': 13, '00101': 3, '00110': 22, '00111': 15}
ibmqx4;2018-07-05T21:57:05.586Z;{'00000': 114, '00001': 118, '00010': 106, '00011': 126, '00100': 130, '00101': 159, '00110': 168, '00111': 103}
ibmqx4;2018-07-05T21:57:05.711Z;{'00000': 226, '00001': 308, '00010': 222, '00011': 229, '00100': 9, '00101': 13, '00110': 10, '00111': 7}
ibmqx4;2018-07-05T21:57:05.767Z;{'00000': 54, '00001': 148, '00010': 103, '00011': 170, '00100': 91, '00101': 174, '00110': 133, '00111': 151}
ibmqx4;2018-07-05T21:57:05.859Z;{'00000': 158, '00001': 346, '00010': 146, '00011': 330, '00100': 8, '00101': 17, '00110': 6, '00111': 13}
ibmqx4;2018-07-05T21:57:05.973Z;{'00000': 39, '00001': 169, '00010': 72, '00011': 207, '00100': 55, '00101': 229, '00110': 72, '00111': 181}
ibmqx4;2018-07-05T21:57:06.036Z;{'00000': 98, '00001': 374, '00010': 117, '00011': 387, '00100': 5, '00101': 26, '00110': 6, '00111': 11}
ibmqx4;2018-07-05T21:57:06.156Z;{'00000': 28, '00001': 193, '00010': 50, '00011': 228, '00100': 37, '00101': 242, '00110': 50, '00111': 196}
ibmqx4;2018-07-05T21:57:06.223Z;{'00000': 85, '00001': 437, '00010': 63, '00011': 379, '00100': 6, '00101': 23, '00110': 7, '00111': 24}
ibmqx4;2018-07-05T21:57:06.344Z;{'00000': 14, '00001': 205, '00010': 36, '00011': 244, '00100': 35, '00101': 260, '00110': 36, '00111': 194}
ibmqx4;2018-07-05T21:57:06.400Z;{'00000': 57, '00001': 447, '00010': 62, '00011': 414, '00100': 8, '00101': 21, '00110': 2, '00111': 13}
ibmqx4;2018-07-05T21:55:57.753Z;{'00000': 226, '00001': 7, '00010': 306, '00011': 4, '00100': 263, '00101': 9, '00110': 201, '00111': 8}
ibmqx4;2018-07-05T21:55:57.843Z;{'00000': 490, '00001': 12, '00010': 475, '00011': 10, '00100': 26, '00110': 10, '00111': 1}
ibmqx4;2018-07-05T21:55:57.952Z;{'00000': 214, '00001': 17, '00010': 298, '00011': 12, '00100': 256, '00101': 9, '00110': 205, '00111': 13}
ibmqx4;2018-07-05T21:55:58.051Z;{'00000': 467, '00001': 27, '00010': 455, '00011': 25, '00100': 20, '00101': 3, '00110': 24, '00111': 3}
ibmqx4;2018-07-05T21:55:58.123Z;{'00000': 212, '00001': 51, '00010': 236, '00011': 22, '00100': 234, '00101': 35, '00110': 207, '00111': 27}
ibmqx4;2018-07-05T21:55:58.228Z;{'00000': 450, '00001': 72, '00010': 398, '00011': 54, '00100': 24, '00101': 3, '00110': 19, '00111': 4}
ibmqx4;2018-07-05T21:55:58.300Z;{'00000': 176, '00001': 82, '00010': 212, '00011': 63, '00100': 208, '00101': 52, '00110': 169, '00111': 62}
ibmqx4;2018-07-05T21:55:58.387Z;{'00000': 407, '00001': 116, '00010': 360, '00011': 92, '00100': 25, '00101': 4, '00110': 15, '00111': 5}
ibmqx4;2018-07-05T21:55:58.487Z;{'00000': 154, '00001': 112, '00010': 199, '00011': 95, '00100': 155, '00101': 77, '00110': 140, '00111': 92}
ibmqx4;2018-07-05T21:55:58.583Z;{'00000': 303, '00001': 168, '00010': 309, '00011': 183, '00100': 17, '00101': 13, '00110': 22, '00111': 9}
ibmqx4;2018-07-05T21:55:58.676Z;{'00000': 110, '00001': 166, '00010': 161, '00011': 135, '00100': 139, '00101': 98, '00110': 99, '00111': 116}
